"年度","月份","陽明山遊客中心","陽明書屋","陽明公園","大屯遊憩區","龍鳳谷遊憩區","小油坑遊憩區","冷水坑","擎天崗","國立故宮博物院","臺北市立美術館","國民革命忠烈祠","國立歷史博物館","國立臺灣科學教育館","國立臺灣藝術教育館","臺北市立動物園","臺北市立天文科學教育館","國立國父紀念館","士林官邸公園","臺北自來水園區","國立中正紀念堂","台北探索館","關渡自然公園","台北當代藝術館","美麗華摩天輪","台北101","北投溫泉博物館","臺北市孔廟","凱達格蘭文化館","臺北市立兒童新樂園","台北植物園","華山1914文化創意產業園區","國立臺灣博物館","松山文創園區","白石湖吊橋"
"Year","Month","Yangmingshan Visitor Center","Yangmingshuwu","Yangming Park","Datun Recreation Area","Longfonggu Recreation Area","Xiaoyoukeng Recration Area","Lengshuikeng","Qingtiangang","National Palace Museum","Taipei Fine Arts Museum","National Revolutionary Martyrs’ Shrine","National Museum of History","National Taiwan Science Education Center","National Taiwan Arts Education Center","Taipei Zoo","Taipei Astronomical Museum","National Dr. Sun Yat-sen Memorial Hall","Chiang Kai-shek Shilin Residence Park","Taipei Water Park","National Chiang Kai-shek Memorial Hall","Discovery Center of Taipei","Guandu Nature Park","Museum of Contemporary Art ,Taipei","Miramar Ferris Wheel","Taipei 101","Beitou Hot Spring Museum","Taipei Confucius Temple","Ketagalan Culture Center","Taipei Children’s Amusement Park","Taipei Botanical Garden","Huashan 1914 Creative Park","National Taiwan Museum","Songshan Cultural and Creative Park","Baishihu Suspension Bridge"
"109(2020)","6","12303","8747","20600","53302","28932","42561","45194","52060","30693","67915","2580","127552","3300","23597","135606","80345","118575","23615","165010","37880","5280","7669","9660","10148","55186","9499","18961","16012","146954","147778","62830","38799","344118","18011"
"109(2020)","7","13064","9086","15600","50177","25854","40692","58141","45108","51837","58297","2428","96024","110512","29547","185815","87576","171490","26305","195881","63637","12461","7518","9495","12371","74958","13276","18665","24357","202612","146182","230071","85702","500972","14923"
"109(2020)","8","10650","7959","17800","49548","28364","33943","49737","48245","59923","53478","2493","218084","258390","30040","233016","87540","184000","33413","206577","82463","43843","7507","12064","16452","87856","18220","25909","38707","220331","134552","173483","98560","563224","9908"
"109(2020)","9","9458","5855","15420","33624","33624","22520","37474","28382","35828","33168","918","190188","134732","25112","150249","60693","172950","26896","104634","65733","24405","7672","11110","10893","68607","18296","23469","27682","75443","141413","171580","48378","433988","12431"
"109(2020)","10","9071","6569","7380","34116","45372","38685","53017","47421","58803","41334","2773","246018","116873","21128","297361","67394","260525","76343","110550","128770","29804","16117","14148","16267","37771","25466","27527","23507","160552","149577","250585","76863","480786","23920"
"109(2020)","11","8622","5888","10070","27592","35417","33943","49737","48245","43382","24529","2014","138948","38363","24567","239111","49490","197590","350827","107381","82098","21792","18203","19356","10937","24147","20893","22780","20403","113242","152387","149645","53526","502202","20569"
"109(2020)","12","5340","5376","8690","21340","32719","16916","36609","26239","45810","39423","4380","118501","49367","22711","174917","49912","199090","378892","148567","136514","24445","9331","13717","12434","41976","25342","18000","18453","83933","119984","123726","46959","490492","20802"
"110(2021)","1","9087","4434","14994","40652","49719","32288","45076","40270","44342","40411","2636","173973","121528","28728","218062","42440","169615","101987","85463","91022","28295","8605","13443","10949","28887","25103","27263","16758","113812","142986","201037","47735","537408","30704"
"110(2021)","2","10321","5299","609339","31452","48486","29753","37350","49435","53268","33437","1592","266892","171623","20848","292531","42754","142825","407032","89022","105286","14273","7067","7131","13787","23610","19431","36942","9844","157701","132955","364808","49957","489627","38904"
"110(2021)","3","9338","4925","572943","33538","115274","29314","36986","37515","33743","30771","2025","120588","104862","26692","202395","52853","149890","352623","72343","97380","5257","8062","10095","9653","22450","16858","25316","15362","104157","177340","286081","43638","510866","25191"
"110(2021)","4","11290","6117","12322","40628","120591","35451","53933","45944","57620","25236","1757","151745","113748","31711","262885","63111","169285","110612","77857","80154","5774","9311","5560","10490","31121","17611","29372","15953","156444","171243","318797","55571","513970","25938"
"110(2021)","5","4219","2403","3022","24208","18098","14230","23061","22426","19077","34650","896","51642","65807","11514","74900","15545","98845","29471","45093","26775","1948","4445","1986","3561","5946","5866","11046","6757","39592","74947","71458","16893","255314","14611"
"110(2021)","6","0","0","18052","2302","2951","471","2714","827","0","0","0","0","22520","0","0","0","14595","9553","2932","0","0","0","0","0","0","0","0","0","0","0","0","0","90596","8818"
