"年度","月份","陽明山遊客中心","陽明書屋","陽明公園","大屯遊憩區","龍鳳谷遊憩區","小油坑遊憩區","冷水坑","擎天崗","國立故宮博物院","臺北市立美術館","國民革命忠烈祠","國立歷史博物館","國立臺灣科學教育館","國立臺灣藝術教育館","臺北市立動物園","臺北市立天文科學教育館","國立國父紀念館","士林官邸公園","臺北自來水園區","國立中正紀念堂","台北探索館","關渡自然公園","台北當代藝術館","美麗華摩天輪","台北101","北投溫泉博物館","臺北市孔廟","凱達格蘭文化館","臺北市立兒童新樂園","台北植物園","華山1914文化創意產業園區","國立臺灣博物館","松山文創園區","白石湖吊橋"
"Year","Month","Yangmingshan Visitor Center","Yangmingshuwu","Yangming Park","Datun Recreation Area","Longfonggu Recreation Area","Xiaoyoukeng Recration Area","Lengshuikeng","Qingtiangang","National Palace Museum","Taipei Fine Arts Museum","National Revolutionary Martyrs’ Shrine","National Museum of History","National Taiwan Science Education Center","National Taiwan Arts Education Center","Taipei Zoo","Taipei Astronomical Museum","National Dr. Sun Yat-sen Memorial Hall","Chiang Kai-shek Shilin Residence Park","Taipei Water Park","National Chiang Kai-shek Memorial Hall","Discovery Center of Taipei","Guandu Nature Park","Museum of Contemporary Art ,Taipei","Miramar Ferris Wheel","Taipei 101","Beitou Hot Spring Museum","Taipei Confucius Temple","Ketagalan Culture Center","Taipei Children’s Amusement Park","Taipei Botanical Garden","Huashan 1914 Creative Park","National Taiwan Museum","Songshan Cultural and Creative Park","Baishihu Suspension Bridge"
"105(2016)","9","7305","1639","4940","50983","13501","17953","0","0","243479","43701","136197","22243","158874","35209","201511","33750","470916","52800","81669","543699","7416","7936","8617","19681","155393","25989","32729","36861","0","0","0","0","0","0"
"105(2016)","10","0","2805","4750","73936","17269","33792","0","0","341266","58239","151967","20187","146112","39410","313289","32180","511332","59940","84074","564492","11952","23500","34281","24657","187740","41738","35361","51486","0","0","0","0","0","0"
"105(2016)","11","0","2832","6513","71715","26449","35459","0","0","329451","45008","122347","38086","177655","43319","310698","39500","467952","131575","81514","477708","13171","15665","20894","22289","199033","42059","34257","45180","0","0","0","0","0","0"
"105(2016)","12","0","2857","4883","61641","34432","32085","0","0","343419","48946","120945","58392","184440","50035","337589","41163","610518","616011","89122","557680","10164","12897","24163","31438","213490","49833","33583","52091","0","0","0","0","0","0"
"106(2017)","1","11835","2834","8490","58882","43762","29227","0","0","334485","35235","100242","46235","187075","39348","344903","34722","493736","216828","81780","562680","14877","7389","12480","33754","195679","36469","43726","31988","206880","118082","191930","33702","0","0"
"106(2017)","2","14029","3002","569737","40053","32503","25194","0","0","318772","41676","133249","54910","212926","39508","295856","41336","401676","208100","78068","535708","17444","7239","13493","28423","176848","35987","38315","38756","221263","116359","186945","35908","0","0"
"106(2017)","3","14400","2910","802012","44729","104623","28157","0","0","310789","29819","175605","24519","173452","45138","225943","51339","382513","209719","108875","373013","14798","9575","15823","17497","180159","35242","38207","36799","129467","120240","170226","30003","0","0"
"106(2017)","4","18840","3500","35988","85110","119830","45649","0","0","351929","48177","160725","39831","317900","50022","366508","54151","417041","208927","97612","355138","25005","11728","15755","20904","186344","38886","32636","56451","226994","125746","220270","41530","0","0"
"106(2017)","5","16300","3002","26671","71767","39363","30392","0","0","369998","46748","165910","39125","313367","33078","263218","38541","386749","157575","96702","305886","22115","11127","16674","21539","175151","31803","38119","38868","181771","113066","172677","43427","0","0"
"106(2017)","6","13364","2101","23895","43532","18100","24862","0","0","320848","44300","155400","43468","170077","13099","132481","30716","418381","124840","108691","291125","24933","7303","13309","15953","150995","24905","33238","34482","100985","90542","97690","33677","0","0"
"106(2017)","7","21623","2654","17950","89058","20722","32685","0","0","424706","69949","138643","45240","417942","22399","199448","63541","416610","126797","185805","343171","29650","9172","14191","25675","180536","29117","30922","37332","211972","91730","455140","56075","0","0"
"106(2017)","8","22431","2455","15050","77931","23993","34051","0","0","431185","71639","142142","28157","395504","17432","217607","81772","479505","132630","175164","389121","38664","8268","15882","26675","214955","32176","33256","41015","242799","63044","253507","58941","0","0"
"106(2017)","9","6780","2272","12850","62141","26402","32129","0","0","264756","52168","128407","21925","188831","17770","174479","52149","368538","117610","90346","310153","12470","8322","20312","16666","161362","2668","31866","31664","113898","78510","143881","29308","0","0"
"106(2017)","10","0","3489","9050","36427","30456","60580","0","0","386268","25756","154435","16109","178302","20267","289777","58381","448353","166287","89991","357509","17230","17871","24935","21081","197519","0","36271","50657","160784","76434","125416","20178","0","0"
"106(2017)","11","0","2490","8270","15855","25771","25047","0","0","429425","24684","168572","19444","143097","20809","250807","44315","435444","323587","71851","314068","20098","12863","14156","17634","214191","0","36400","45577","131350","75376","213342","23090","0","0"
"106(2017)","12","0","2177","8660","31852","29014","28657","0","0","467762","20444","161406","11908","170888","18212","286927","51477","604810","488364","92873","356081","17044","11921","21003","27339","218718","0","35411","49828","172422","75634","288738","38682","0","0"
"107(2018)","1","18832","1616","8750","30588","27405","25298","0","0","421459","16013","140058","22732","203148","20383","247859","41274","385782","143171","71909","349272","19706","8108","19100","22450","200490","0","38010","35058","147262","74279","204497","35714","0","17641"
"107(2018)","2","52386","2745","247131","52168","45304","38515","0","0","408214","12707","124122","12409","276567","21779","320457","56436","374768","578983","85613","326354","14066","4410","12726","23870","177877","0","49297","32643","202301","56564","170818","37735","0","21699"
"107(2018)","3","16896","2811","891890","33536","59814","43575","0","0","291705","15814","160979","12110","25705","24674","328524","88474","346417","215449","88116","369781","10888","10932","26939","19291","185523","0","43194","30995","159282","106103","267961","33848","0","29817"
