id,attraction_id,author,description,url,source_platform_id,created_at
8a7e51b35930c295e098ec104ea1f0b3,fc73810e75cbcb35391b0f013cfabeab,近藤弥生子 Yaeko Kondo,,https://www.facebook.com/reel/337519435840333/?__cft__[0]=AZXFl9YtQ2gQoXsnv-QBT5mCVlZ7oAxeP4ddAr93kp40UQ69-qJqWEaz6yFJ2uPx13w3QinDk0aFDG67sbSg1XopzN2RC_Rz4U90VEGQ4MHBX0TGAnUKPc7uWFfguyWevq7tRjfDD3qRMzTVo-zOe24Ilfb6yGWKMqSBrsEBXlrMDQ&__tn__=%2CO%2CP-R,fb,2023-12-30
45e195794bc027e422e1a40e035fc7f7,fc73810e75cbcb35391b0f013cfabeab,Han Yun Chen,,https://www.facebook.com/reel/1497236074160036/?__cft__[0]=AZWLM7T-I6fUp6CYFV3yE--FALLZoR6CWd0-PfKeuCIB0RkS45luWGGkWJQ492W7acNXaMfx5-XWUDYVRzPGjBXPCNsTTAmPjGmlhJ5m5pLnu5HIz0dtNSCLKZlC8sDBRfIge57-5N48Dwm0o8uq9ZYvXXelVOf6MXWPUtFAWn2kig&__tn__=%2CO%2CP-R,fb,2024-05-04
0d124959f3c446b63f375de685f9f322,fc73810e75cbcb35391b0f013cfabeab,Pu💋料理日記,,https://www.facebook.com/reel/1166393288064182/?__cft__[0]=AZVeS-RGulpt6SFcxy1yegHib_UfB54HsUb2Xjj_lnVYSlzSlK-sINxWDFCuakvMyAyQDAq4HOrdn5OyhRGqYFPBTVoVGLkAlwDyhvMciiDSt8ubkWXJqNf8vh7u6K92uayvIm1Rputj79nhyRAPGgk_22fXQtRTc6Ms4GDJojvWoQ&__tn__=%2CO%2CP-R,fb,2024-04-07
62a9f65ba4e2d2b1e508132d9c2391ff,fc73810e75cbcb35391b0f013cfabeab,比只吃吃｜中壢、桃園好吃好玩,,https://www.facebook.com/reel/829457212199724/?__cft__[0]=AZUY9F0eGtJGexT5vh7uo3jlTe8vRdC3pv5SQwPKdasrFB2PuTxJnqyLFUFgoh9OxGQ6lDb_f6VHupPd8dKnnvJaaKzUhwusnmagwVOwU11fT00jWW_NytknDOR3Q6xOdsO6Z1hglupmtiu4X9gXWosmq_LL7uIQ6fWt20wYvFE3wA&__tn__=%2CO%2CP-R,fb,2024-01-05
c4625809cb1a9bddfe15212f80d0bd04,fc73810e75cbcb35391b0f013cfabeab,Tzu-Chao Chou,,https://www.facebook.com/reel/1261637674538340/?__cft__[0]=AZULUEFTh3WhEbEjCzhizPbgsLfQdwOESjLtVCz83NZ6D-5lhJBZac3uwBHZNfWMhHWOIFiMMqHzFX9sNlxB6snEJgscthRWlHWBn-I6GyNC56w5elRWXCqBvLYceIoz4MPwBuVn5JxMPAzZE6x5Nrm_uLjP4ZkIFaG5FjJU3e9onA&__tn__=%2CO%2CP-R,fb,2023-07-31
6707e26471f00fa77bb4ad0eb91f2e1d,fc73810e75cbcb35391b0f013cfabeab,まーしゃん,,https://www.facebook.com/reel/803704778334181/?__cft__[0]=AZXlmajp_jqb97Ws87BRPTRwXjx2G0Y_2hy0HdWvqXbr2kHK1hApgDkWf8Uli749K2NGn-Ars5APUC7FXEPYzBWot41vM2EffaFjiwhVv79kzyCKORDYOOiE-VnUzU9A2jCewGnLo9-jo4qVijddCU98_jMKMuae3rjO6s4CCbEiJQ&__tn__=%2CO%2CP-R,fb,2024-04-27
ac4b6c067c7b69dcf2c08dd3bb00bd3f,fc73810e75cbcb35391b0f013cfabeab,台北租屋、出租專屬社團,#可租金補貼老實說，雙捷運真的很少見，紅線＆綠線都有，可能會是你在台北長久安居的原因，…… 查看更多,https://www.facebook.com/groups/464870710346711/?multi_permalinks=2643383025828791&hoisted_section_header_type=recently_seen&__cft__[0]=AZUHT7_1DjtGNhlTGijF2fx2z0xu13scFiV6gPbCwzPPDAxSQeGON0B5G9bbE9y_8HcM1MgvIkqIs6Em3_oJf3fjvaSX4rX38ekEGQYWV9rtHNdY5boDbbQUNbYg0TVyzq2dIrWH0dJ-E7pGh-NSFz3k1nqaaEoS3D4XiBaVmorc9qNF3TJJZ-gEmLdlG1mrrldbZwFMewkcmcBgu7m5ZVaq&__tn__=%2CO%2CP-R,fb,2024-04-28
f18c1ab3930568d6cb1b206d8ae0ffdc,fc73810e75cbcb35391b0f013cfabeab,Shani 瑄妮 ☻,,https://www.facebook.com/reel/1659811141427429/?__cft__[0]=AZUuWzHP82SiaJ6EGCa9AI9QtMYu6yMf7ZOY_tY3a_NFJAK7a3B0SO5ijYcsAZ6vSgAU9h2eJm5veBS2KM2idplRsTPvH8jt9PFLklthq6Ttc9TKrqlEvY662OlH8DEGpyzRY_Q-2QZqxt3jrshsqrHKR3UHFl41HXNDXH0mqxrkPw&__tn__=%2CO%2CP-R,fb,2024-04-19
7e9d8f4056b1ee66120b9dcb83d2a485,fc73810e75cbcb35391b0f013cfabeab,Pinkoi,,https://www.facebook.com/reel/388294580437473/?__cft__[0]=AZUaMq4SkXKvBLe71-54uYy9nJeqf-Id3avodiLk1IebaAzgKwE2uag-5BRszWJtD5Wq-BStcWgIT_FBXRdqZFFQK6CfOA4Ud951eGoHBI6g46oMknRSydZaPA5VvTCEFey4PKM2QZB2oXTd5HHfm95T9zcqwLjWLDHWFp4-ZBDqbw&__tn__=%2CO%2CP-R,fb,2024-01-05
4c2faf082547031f16f52960eff43270,fc73810e75cbcb35391b0f013cfabeab,Vivian,,https://www.facebook.com/reel/763025542263910/?__cft__[0]=AZVl36f4kpq6IqDMDE7UZGz7ucQYTgzzn0pETzyr7qnSBWFE-xyr49aI5vd5fWGoEVwYUbDi-CvO7xtq6r6ttCx8wPIvLo8J-5-8eQiI9dSHa6BnmGcwwr-4OgeSOAckweW9pndhoEJEbI9IzCb_SdUmWRU8NxGz6oKSKxbEhvKvFQ&__tn__=%2CO%2CP-R,fb,2023-07-16
